datePulled,contract,type,expiry,strike,bid,ask,volume,oi,lastTrd,impVol
2020-08-02,SPY200803C00155000,CALL,2020-08-03,155.00,171.31,171.64,2,2,2020-07-10 3:14PM EDT,562.50%
2020-08-02,SPY200803C00245000,CALL,2020-08-03,245.00,81.31,81.64,1,1,2020-07-31 11:33AM EDT,236.33%
2020-08-02,SPY200803C00250000,CALL,2020-08-03,250.00,76.31,76.64,80,80,2020-07-31 10:14AM EDT,221.48%
2020-08-02,SPY200803C00260000,CALL,2020-08-03,260.00,66.31,66.64,1,1,2020-07-24 10:48AM EDT,192.58%
2020-08-02,SPY200803C00265000,CALL,2020-08-03,265.00,61.31,61.64,5,5,2020-07-31 10:20AM EDT,178.13%
2020-08-02,SPY200803C00270000,CALL,2020-08-03,270.00,56.31,56.64,10,10,2020-07-24 9:55AM EDT,164.06%
2020-08-02,SPY200803C00275000,CALL,2020-08-03,275.00,51.32,51.64,1,1,2020-07-08 4:05PM EDT,150.00%
2020-08-02,SPY200803C00280000,CALL,2020-08-03,280.00,46.32,46.65,1,15,2020-07-31 9:31AM EDT,137.89%
2020-08-02,SPY200803C00284000,CALL,2020-08-03,284.00,42.32,42.64,-,10,2020-07-30 10:15AM EDT,125.39%
2020-08-02,SPY200803C00285000,CALL,2020-08-03,285.00,41.32,41.64,55,21,2020-07-31 10:21AM EDT,122.66%
2020-08-02,SPY200803C00286000,CALL,2020-08-03,286.00,40.32,40.65,50,4,2020-07-31 9:34AM EDT,121.29%
2020-08-02,SPY200803C00288000,CALL,2020-08-03,288.00,38.32,38.64,25,25,2020-07-22 3:34PM EDT,114.45%
2020-08-02,SPY200803C00289000,CALL,2020-08-03,289.00,37.32,37.64,-,3,2020-07-29 1:04PM EDT,111.72%
2020-08-02,SPY200803C00290000,CALL,2020-08-03,290.00,36.32,36.64,1,23,2020-07-23 3:27PM EDT,108.98%
2020-08-02,SPY200803C00291000,CALL,2020-08-03,291.00,35.32,35.64,-,10,2020-07-30 10:15AM EDT,106.25%
2020-08-02,SPY200803C00293000,CALL,2020-08-03,293.00,33.32,33.65,1,2,2020-07-31 10:53AM EDT,101.95%
2020-08-02,SPY200803C00294000,CALL,2020-08-03,294.00,32.32,32.65,10,11,2020-07-30 10:15AM EDT,99.22%
2020-08-02,SPY200803C00295000,CALL,2020-08-03,295.00,31.32,31.68,1,32,2020-07-31 2:34PM EDT,99.80%
2020-08-02,SPY200803C00296000,CALL,2020-08-03,296.00,30.32,30.65,1,105,2020-07-29 10:48AM EDT,93.75%
2020-08-02,SPY200803C00297000,CALL,2020-08-03,297.00,29.32,29.65,4,21,2020-07-31 3:05PM EDT,91.02%
2020-08-02,SPY200803C00298000,CALL,2020-08-03,298.00,28.32,28.66,51,18,2020-07-31 2:16PM EDT,89.45%
2020-08-02,SPY200803C00299000,CALL,2020-08-03,299.00,27.33,27.65,3,27,2020-07-31 4:04PM EDT,85.55%
2020-08-02,SPY200803C00300000,CALL,2020-08-03,300.00,26.33,26.66,35,299,2020-07-31 3:50PM EDT,83.79%
2020-08-02,SPY200803C00301000,CALL,2020-08-03,301.00,25.33,25.65,5,115,2020-07-31 3:45PM EDT,80.08%
2020-08-02,SPY200803C00302000,CALL,2020-08-03,302.00,24.33,24.66,31,98,2020-07-31 3:04PM EDT,78.32%
2020-08-02,SPY200803C00303000,CALL,2020-08-03,303.00,23.33,23.66,23,54,2020-07-31 12:23PM EDT,75.39%
2020-08-02,SPY200803C00304000,CALL,2020-08-03,304.00,22.33,22.66,1,72,2020-07-30 4:11PM EDT,72.66%
2020-08-02,SPY200803C00305000,CALL,2020-08-03,305.00,21.33,21.66,49,166,2020-07-31 3:36PM EDT,69.92%
2020-08-02,SPY200803C00306000,CALL,2020-08-03,306.00,20.33,20.66,1,257,2020-07-31 10:29AM EDT,66.99%
2020-08-02,SPY200803C00307000,CALL,2020-08-03,307.00,19.33,19.66,91,163,2020-07-31 2:31PM EDT,64.26%
2020-08-02,SPY200803C00308000,CALL,2020-08-03,308.00,18.34,18.66,40,121,2020-07-31 3:04PM EDT,61.43%
2020-08-02,SPY200803C00309000,CALL,2020-08-03,309.00,17.34,17.66,16,106,2020-07-31 4:00PM EDT,58.59%
2020-08-02,SPY200803C00310000,CALL,2020-08-03,310.00,16.34,16.66,87,321,2020-07-31 3:39PM EDT,55.76%
2020-08-02,SPY200803C00311000,CALL,2020-08-03,311.00,15.35,15.70,68,420,2020-07-31 3:55PM EDT,55.57%
2020-08-02,SPY200803C00312000,CALL,2020-08-03,312.00,14.35,14.67,66,447,2020-07-31 4:01PM EDT,50.78%
2020-08-02,SPY200803C00313000,CALL,2020-08-03,313.00,13.36,13.69,467,473,2020-07-31 3:14PM EDT,49.02%
2020-08-02,SPY200803C00314000,CALL,2020-08-03,314.00,12.36,12.71,414,550,2020-07-31 4:11PM EDT,47.07%
2020-08-02,SPY200803C00315000,CALL,2020-08-03,315.00,11.37,11.69,"4,362",360,2020-07-31 4:11PM EDT,43.07%
